# This is the list of histogram data!
# Number	cdNum	mark
531	7	0
532	14	0
533	1	0
534	72	0
535	1	0
536	36	0
537	1	0
538	177	0
539	20	0
540	13	0
541	17	0
542	4	0
543	47	0
544	6	0
545	5	0
546	4	0
547	4	0
548	16	0
549	2	0
550	11	0
551	58	0
552	9	0
553	13	0
554	65	0
555	3	0
556	33	0
557	55	0
558	14	0
559	17	0
560	2	0
561	1	0
562	10	0
563	19	0
564	22	0
565	21	0
566	12	0
567	1	0
568	1	0
569	35	0
570	1	0
571	3	0
572	12	0
573	23	0
574	2	0
575	10	0
576	1	0
577	33	0
578	7	0
579	1	0
580	11	0
581	3	0
582	5	0
583	8	0
584	17	0
585	27	0
586	2	0
587	18	0
588	5	0
589	35	0
590	4	0
591	13	0
592	13	0
593	1	0
594	12	0
595	52	0
596	14	0
597	54	0
598	45	0
599	35	0
600	3	0
601	8	0
602	1	0
603	66	0
604	4	0
605	42	0
606	19	0
607	12	0
608	1	0
609	21	0
610	6	0
611	1	0
612	3	0
613	5	0
614	13	0
615	3	0
616	69	0
617	1	0
618	70	0
619	19	0
620	19	0
621	9	0
622	19	0
623	1	0
624	62	0
625	13	0
626	10	0
627	14	0
628	42	0
629	22	0
630	64	0
631	6	0
632	5	0
633	39	0
634	15	0
635	26	0
636	1	0
637	13	0
638	1	0
639	26	0
640	20	0
641	13	0
642	1	0
643	1	0
644	104	0
645	10	0
646	3	0
647	1	0
648	15	0
649	2	0
650	15	0
651	24	0
652	7	0
653	200	0
654	1	0
655	1	0
656	40	0
657	1	0
658	1	0
659	12	0
660	67	0
661	200	0
662	1	0
663	20	0
664	81	0
665	16	0
666	20	0
667	118	0
668	1	0
669	7	0
670	10	0
671	25	0
672	8	0
673	2	0
674	5	0
675	26	0
676	8	0
677	15	0
678	3	0
679	6	0
680	21	0
681	1	0
682	21	0
683	82	0
684	6	0
685	12	0
686	8	0
687	14	0
688	34	0
689	10	0
690	56	0
691	3	0
692	1	0
693	37	0
694	1	0
695	18	0
696	1	0
697	36	0
698	2	0
699	23	0
700	57	0
701	5	0
702	19	0
703	1	0
704	195	0
705	12	0
706	15	0
707	7	0
708	5	0
709	11	0
710	50	0
711	10	0
712	8	0
713	19	0
714	6	0
715	4	0
716	12	0
717	44	0
718	29	0
719	36	0
720	6	0
721	109	0
722	24	0
723	13	0
724	4	0
725	15	0
726	115	0
727	70	0
728	1	0
729	14	0
730	3	0
731	2	0
732	19	0
733	200	0
734	27	0
735	200	0
736	6	0
737	200	0
738	18	0
739	24	0
740	5	0
741	19	0
742	111	0
743	14	0
744	28	0
745	1	0
746	26	0
747	136	0
748	118	0
749	15	0
750	1	0
751	19	0
752	20	0
753	18	0
754	8	0
755	200	0
756	1	0
757	7	0
758	126	0
759	9	0
760	47	0
761	1	0
762	11	0
763	14	0
764	18	0
765	19	0
766	14	0
767	1	0
768	16	0
769	14	0
770	11	0
771	5	0
772	1	0
773	36	0
774	11	0
775	18	0
776	4	0
777	17	0
778	16	0
779	1	0
780	7	0
781	147	0
782	3	0
783	19	0
784	11	0
785	4	0
786	15	0
787	18	0
788	200	0
789	22	0
790	107	0
791	24	0
792	28	0
793	1	0
794	1	0
795	12	0
796	1	0
797	21	0
798	25	0
799	19	0
800	16	0
801	10	0
802	10	0
803	14	0
804	11	0
805	124	0
806	3	0
807	8	0
808	11	0
809	2	0
810	4	0
811	63	0
812	10	0
813	75	0
814	114	0
815	13	0
816	25	0
817	188	0
818	62	0
819	32	0
820	1	0
821	68	0
822	5	0
823	23	0
824	12	0
825	6	0
826	1	0
827	18	0
828	14	0
829	5	0
830	2	0
831	6	0
832	1	0
833	88	0
834	32	0
835	8	0
836	28	0
837	13	0
838	6	0
839	47	0
840	200	0
841	16	0
842	16	0
843	1	0
844	11	0
845	34	0
846	2	0
847	8	0
848	5	0
849	29	0
850	200	0
851	2	0
852	1	0
853	64	0
854	1	0
855	6	0
856	40	0
857	16	0
858	2	0
859	3	0
860	9	0
861	30	0
862	21	0
863	20	0
864	101	0
865	15	0
866	5	0
867	111	0
868	19	0
869	31	0
870	14	0
871	3	0
872	124	0
873	17	0
874	1	0
875	1	0
876	5	0
877	19	0
878	34	0
879	13	0
880	9	0
881	1	0
882	10	0
883	14	0
884	48	0
885	13	0
886	5	0
887	14	0
888	19	0
889	28	0
890	39	0
891	42	0
892	7	0
893	2	0
894	6	0
895	5	0
896	150	0
897	2	0
898	70	0
899	4	0
900	16	0
901	1	0
902	3	0
903	138	0
904	3	0
905	6	0
906	1	0
907	6	0
908	1	0
909	200	0
910	53	0
911	10	0
912	7	0
913	22	0
914	1	0
915	40	0
916	49	0
917	7	0
918	34	0
919	2	0
920	25	0
921	25	0
922	1	0
923	2	0
924	19	0
925	1	0
926	9	0
927	15	0
928	1	0
929	10	0
930	8	0
931	24	0
932	16	0
933	24	0
934	1	0
935	9	0
936	24	0
937	1	0
938	3	0
939	117	0
940	6	0
941	11	0
942	10	0
943	8	0
944	6	0
945	25	0
946	22	0
947	11	0
948	6	0
949	57	0
950	6	0
951	3	0
952	31	0
953	200	0
954	5	0
955	10	0
956	12	0
957	29	0
958	4	0
959	30	0
960	2	0
961	47	0
962	8	0
963	6	0
964	4	0
965	7	0
966	3	0
967	1	0
968	27	0
969	3	0
970	21	0
971	22	0
972	6	0
973	14	0
974	6	0
975	1	1
976	1	0
977	21	0
978	6	0
979	3	0
980	11	0
981	11	0
982	82	0
983	12	0
984	13	0
985	44	0
986	1	0
987	1	0
988	2	0
989	1	0
990	29	0
991	5	0
992	8	0
993	73	0
994	13	0
995	1	0
996	12	0
997	2	0
998	1	0
999	5	0
1000	1	0
1001	15	0
1002	8	0
1003	17	0
1004	18	0
1005	5	0
1006	1	0
1007	1	1
1008	1	0
1009	1	0
1010	5	0
1011	46	0
1012	36	0
1013	13	0
1014	1	0
1015	3	0
1016	5	0
1017	200	200
1018	6	0
1019	1	0
1020	1	0
1021	10	0
1022	1	0
1023	23	0
1024	6	0
1025	12	0
1026	6	0
1027	7	0
1028	3	0
1029	15	0
1030	11	0
1031	152	0
1032	1	0
1033	2	0
1034	1	0
1035	5	0
1036	200	200
1037	1	0
1038	1	0
1039	1	0
1040	1	0
1041	18	0
1042	10	0
1043	1	0
1044	3	0
1045	14	0
1046	37	0
1047	1	0
1048	1	0
1049	115	0
1050	22	0
1051	16	0
1052	90	0
1053	1	0
1054	200	200
1055	6	0
1056	1	0
1057	2	0
1058	9	0
1059	44	0
1060	13	0
1061	56	0
1062	23	0
1063	200	0
1064	166	0
1065	17	0
1066	18	0
1067	15	0
1068	104	0
1069	6	6
1070	28	0
1071	71	0
1072	18	0
1073	61	0
1074	9	0
1075	61	0
1076	28	0
1077	1	0
1078	22	0
1079	112	0
1080	77	0
1081	3	3
1082	15	0
1083	13	0
1084	12	0
1085	14	0
1086	1	0
1087	16	0
1088	1	0
1089	3	0
1090	45	0
1091	1	0
1092	12	0
1093	19	0
1094	19	0
1095	9	0
1096	11	0
1097	14	0
1098	10	0
1099	2	0
1100	2	2
1101	4	0
1102	5	0
1103	2	0
1104	23	0
1105	1	0
1106	4	0
1107	4	0
1108	15	0
1109	200	0
1110	2	0
1111	11	0
1112	15	0
1113	16	0
1114	200	0
1115	21	11
1116	29	0
1117	2	2
1118	129	0
1119	3	0
1120	12	0
1121	4	0
1122	1	0
1123	17	0
1124	1	0
1125	23	0
1126	4	0
1127	1	0
1128	31	0
1129	40	0
1130	6	0
1131	116	0
1132	3	0
1133	1	0
1134	1	0
1135	4	0
1136	1	1
1137	1	0
1138	37	0
1139	1	0
1140	4	0
1141	11	0
1142	1	0
1143	1	0
1144	9	0
1145	45	0
1146	6	0
1147	17	0
1148	15	0
1149	26	0
1150	1	0
1151	12	0
1152	1	0
1153	2	2
1154	2	0
1155	12	0
1156	27	0
1157	48	0
1158	35	0
1159	27	0
1160	1	0
1161	16	0
1162	149	0
1163	3	0
1164	1	0
1165	21	0
1166	43	0
1167	3	0
1168	2	2
1169	1	0
1170	1	0
1171	18	0
1172	23	0
1173	1	1
1174	17	0
1175	5	0
1176	124	0
1177	38	0
1178	200	0
1179	54	0
1180	4	0
1181	9	0
1182	6	0
1183	3	0
1184	4	0
1185	23	0
1186	15	0
1187	112	0
1188	200	200
1189	2	2
1190	82	0
1191	129	0
1192	20	0
1193	133	0
1194	1	0
1195	47	0
1196	22	0
1197	10	0
1198	22	0
1199	104	0
1200	19	0
1201	9	0
1202	200	200
1203	2	2
1204	16	0
